Combo Starter;combo;Total Damage;Note;Video
0% Combos;
D-throw;FH-Sweet F-air;;;;;;29.6;(Pretty hard, precise and therefore inconsistent, you need to slightly walk forward before doing the F-air if they DI away.);lwCOgV-_NOI;
Falling Shorthop Sour F-air;D-tilt Jabs;;;;;;25.3;(You need to land pretty low to the ground, you're only +5 so otherwise just go for Jabs.);wsnvf4R3v-I;
Falling Shorthop Sweet F-air;SH rising Sweet F-air, Fastfall;D-tilt;F-tilt;;;;45.1;Pretty tough as you need to fastfall the second F-air without buffer and the first F-air needs to be spaced properly. Is worth the damage though.;zG746aAN8n0;
Falling Shorthop Sweet F-air;DJC Z-air;DJC Z-air;DJC Z-air etc.;F-air;;;A lot.;Most optimal/consistent way of dealing damage at 0% As long as the first F-air doesn't put the opponent in tumble this will work.;GB2m7Z_FPIY;
Falling Shorthop Sweetspot B-air;F-tilt;;;;;;26.7;;wJBR8yDOwzo;
Falling Shorthop Sweetspot B-air;Instant turnaround;D-tilt;F-tilt;;;;33;;363H6jSXa24;
Falling Shorthop Up-air;D-tilt;F-tilt;;;;;31.9;;-_mcltaSZYA;
Falling Shorthop Up-air;N-air;Fastfall between the 3rd and 4th hit.;SH F-air;;;;35.8;Getting the fastfall requires some practice;Qw_3M-grBsU;
SH N-air (fastfall between the 3rd and 4th hit);SH N-air (Same as before);SH N-air (Same as before);SH N-air (Same as before);Up-air;Up-air;Up-air;63;Getting the fastfall requires some practice, Only do 2 N-airs on lighter character, on heavies do 4;X914OINEAmU;
PSI Magnet (New);Instant Sweetspot DA;;;;;;26.4;;1WcoERv6iuw;
PSI Magnet (New);DJC Z-air;Imagination;;;;;A lot.;This took me 5 minutes of trying, this is really really hard, you're better off doing DA;PhcPkxVVODA;
SH PSI Magnet (New);Z-air;DJC Z-air;DJC Z-air;DJC Z-air;Dash Attack;;43.1;Can also be done at 0% and from a neutral jump but it's a LOT harder.;V69O1EWZdBA;
30% Combos;
D-tilt;Jab;;;;;;15.7;;YwI4xKMfZyM;
Up-tilt;U-air;U-air;U-air;;;;48.3;Works at 35% for mario and slightly up, requires frame perfect FH Up-air. Pretty difficult but high reward;r7mmDzffPdI;
Falling Shorthop Sour F-air;F-smash;;;;;;27.2;;202JliEUJJE;
Falling Shorthop Sour F-air;SH rising D-air;Turnaround D-tilt;F-tilt;;;;46.3;;zyOH-fx1voU;
Falling Shorthop Sour F-air;Sour Dash attack;FH U-air ;U-air;;;;46.8;You can get a third up-air against bigger characters;cmkGz-pCHpw;
Falling Shorthop Sour F-air;DJC Z-air;DJC Z-air etc. ;Sweetspot F-air;;;;A lot;The first DJC Z-air needs to be on the spot;vqDSU0_TEsQ;
